step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,19344,16,0.062331152700109166,0.0,0.20454545454545456
2,39072,32,0.05510989558389723,0.0,0.25
3,58672,48,0.04788961260216816,0.0,0.39204545454545453
4,78144,64,0.039366662871924314,0.0,0.6022727272727273
5,97744,80,0.030395794926691175,0.0,0.7272727272727273
6,117088,96,0.02616979473744989,0.0,0.8125
7,136304,112,0.02132972052005169,0.0,0.8693181818181818
8,155904,128,0.021110288246799967,0.0,0.8693181818181818
9,175504,144,0.019904502419459104,0.0,0.875
10,194976,160,0.020287816845395143,0.0,0.8693181818181818
11,214576,176,0.019424332600361707,0.0,0.8579545454545454
12,233920,192,0.020290187168057902,0.0,0.8579545454545454
13,253136,208,0.020100695031783355,0.0,0.8522727272727273
14,272480,224,0.018876515914245245,0.0625,0.8806818181818182
15,291696,240,0.01898805550345334,0.0,0.8863636363636364
16,311040,256,0.019851757346843375,0.0,0.8636363636363636
17,330384,272,0.019444898056126758,0.0,0.8522727272727273
18,349856,288,0.018643864192633204,0.0,0.8693181818181818
19,369200,304,0.019242567016035488,0.0,0.8522727272727273
20,388544,320,0.019171535720063356,0.0,0.8465909090909091
21,407504,336,0.019340407284278716,0.0,0.8636363636363636
22,426592,352,0.019087219386268534,0.0,0.8579545454545454
23,445936,368,0.018852749117787976,0.0625,0.8636363636363636
24,465408,384,0.01823420159972486,0.0,0.8693181818181818
25,484752,400,0.018432247774660248,0.0,0.875
26,504096,416,0.018359290650878754,0.0,0.8579545454545454
27,523568,432,0.018065882710938043,0.0,0.875
28,542912,448,0.018053535756283517,0.0,0.8693181818181818
29,562256,464,0.017971236070650997,0.0625,0.8806818181818182
30,581472,480,0.01835653970501588,0.0,0.8636363636363636
31,600816,496,0.018046006886490704,0.0,0.8522727272727273
32,620032,512,0.018141092667120412,0.0,0.8522727272727273
33,639376,528,0.017799936978557442,0.0,0.8693181818181818
34,658976,544,0.01770393343774175,0.0625,0.8920454545454546
35,678576,560,0.01780060869444044,0.0,0.8579545454545454
36,698048,576,0.017623549934184995,0.0,0.8579545454545454
37,717648,592,0.017691684967195098,0.0,0.8636363636363636
38,736992,608,0.017610785513671148,0.0,0.8863636363636364
39,756464,624,0.017711769694438412,0.0,0.8579545454545454
40,775680,640,0.017609486941794997,0.0,0.8806818181818182
41,795152,656,0.017617620106135684,0.0,0.8522727272727273
42,814496,672,0.01775226156277846,0.0,0.8579545454545454
43,834096,688,0.017492082923881356,0.0,0.8579545454545454
44,853312,704,0.017543851174122802,0.0,0.8522727272727273
45,872784,720,0.017569679866142777,0.0,0.8522727272727273
46,892128,736,0.017637637595632784,0.0,0.8920454545454546
47,911344,752,0.017730932920137575,0.0625,0.8579545454545454
48,930560,768,0.0174837287169889,0.0,0.8579545454545454
49,949776,784,0.0180707745294835,0.0,0.8465909090909091
50,969248,800,0.017327769657367625,0.0,0.8636363636363636
51,988464,816,0.017682462050706615,0.0,0.8465909090909091
52,1007808,832,0.0173254553856886,0.0625,0.8522727272727273
53,1027024,848,0.0173951743517594,0.0625,0.8920454545454546
54,1046368,864,0.017732664183733066,0.0,0.8636363636363636
55,1065712,880,0.01751542842423758,0.0,0.8522727272727273
56,1084928,896,0.017241308020541593,0.0625,0.8863636363636364
57,1104400,912,0.01740796996527848,0.0,0.8693181818181818
58,1123616,928,0.017502537263843945,0.0,0.8579545454545454
59,1142832,944,0.01753331703198827,0.0625,0.8579545454545454
60,1162048,960,0.01725282268629745,0.0625,0.875
61,1181264,976,0.017386446611348746,0.0625,0.8920454545454546
62,1200608,992,0.01726484532786907,0.0,0.875
63,1219824,1008,0.018069796116167255,0.0,0.8522727272727273
64,1239168,1024,0.01730251239815295,0.0,0.8522727272727273
65,1258384,1040,0.01710170497083285,0.0,0.8863636363636364
66,1277728,1056,0.017634343646276515,0.0,0.8863636363636364
67,1297328,1072,0.01778086320342939,0.0,0.8693181818181818
68,1316800,1088,0.017575001826633768,0.0,0.8636363636363636
69,1335888,1104,0.017556607756900267,0.0,0.8636363636363636
70,1355360,1120,0.017234595667940954,0.0,0.8636363636363636
71,1374576,1136,0.017797818449219103,0.0,0.8579545454545454
72,1393920,1152,0.016955745438748986,0.0,0.8806818181818182
73,1413264,1168,0.017140538693031844,0.0,0.8636363636363636
74,1432480,1184,0.01708697683000844,0.0,0.8693181818181818
75,1451952,1200,0.01703231010455535,0.0,0.875
76,1471168,1216,0.017180843152043962,0.125,0.8920454545454546
77,1490384,1232,0.017485378597790747,0.0,0.8579545454545454
78,1509600,1248,0.017189947360678196,0.0,0.8693181818181818
79,1528944,1264,0.017065913787876814,0.0,0.8920454545454546
80,1548032,1280,0.017511024573049518,0.0,0.8636363636363636
81,1567376,1296,0.017005419883653044,0.0,0.8693181818181818
82,1586592,1312,0.017146178305948518,0.0625,0.875
83,1605936,1328,0.017141307900787956,0.0,0.8409090909090909
84,1625152,1344,0.017298666986249794,0.0,0.8579545454545454
85,1644368,1360,0.017189217834855317,0.0,0.8806818181818182
86,1663584,1376,0.017550186782335435,0.0,0.8465909090909091
87,1682800,1392,0.016838578797043268,0.0625,0.875
88,1702400,1408,0.01667489855548666,0.0,0.8636363636363636
89,1721872,1424,0.016693373423829583,0.125,0.8693181818181818
90,1741088,1440,0.017551516607973595,0.0,0.8465909090909091
91,1760432,1456,0.01694947339375599,0.0625,0.8806818181818182
92,1779776,1472,0.01676892525866285,0.0,0.8693181818181818
93,1799120,1488,0.016857637351530428,0.0,0.8465909090909091
94,1818336,1504,0.017179952075507057,0.0,0.8806818181818182
95,1837552,1520,0.016856870082658133,0.0,0.8579545454545454
96,1856768,1536,0.01679793388767241,0.0,0.875
97,1875856,1552,0.016925900601365913,0.0,0.8977272727272727
98,1895200,1568,0.016772359640968786,0.0,0.8636363636363636
99,1914160,1584,0.01745842893100941,0.0,0.8579545454545454
100,1933376,1600,0.017154920523331334,0.0,0.8693181818181818
101,1952464,1616,0.017185343848493892,0.0,0.8636363636363636
102,1971808,1632,0.016636455259763747,0.0,0.8693181818181818
103,1991152,1648,0.016705895545012426,0.0,0.8522727272727273
104,2010624,1664,0.01645131430171458,0.0,0.8636363636363636
